gem_type,species,variety,carat,color,cut,clarity,shape,length,width,depth,origin,treatment,is_certified,certification_lab,heat_treatment,mining_location,quality_grade,rarity_score,market_type,price_lkr,price_usd,sale_date,seller_type,notes
Spinel,Spinel,Blue Spinel,9.08,Blue,Pear,SI,Pear,19.5,15.9,14.8,Sri Lanka,Natural,true,GIA,No,Thambalagamuwa,AAAA,3,Collector,82450,274.83,2023-05-07,Collector,"Blue blue spinel, SI clarity"
Sapphire,Corundum,Blue Sapphire,9.85,Royal Blue,Oval,VS1,Oval,22.1,19.3,16.2,Sri Lanka,Unheated,false,Lotus,No,Thambalagamuwa,AAA,8,Collector,98500000,328333.33,2023-05-29,Collector,"Royal Blue blue sapphire, VS1 clarity"
Sapphire,Corundum,Blue Sapphire,5.45,Normal Blue,Oval,Eye-clean,Oval,12.0,13.1,7.8,Sri Lanka,Natural,true,Lotus,No,Balangoda,AAAA,4,Local,3490781,11635.94,2024-09-07,Dealer,"Normal Blue blue sapphire, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,7.72,Normal Blue,Round,VVS,Round,17.2,16.3,10.3,Sri Lanka,Heated,false,GIA,Yes,Balangoda,AA,4,Collector,3531493,11771.64,2024-11-24,High-End Dealer,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,White Sapphire,6.92,White,Oval,VS,Oval,13.9,14.7,11.1,Sri Lanka,Natural,true,AIGS,No,Ratnapura,AAA+,10,Local,197588,658.63,2023-03-20,Dealer,"White white sapphire, VS clarity"
Spinel,Spinel,Blue Spinel,1.15,Blue,Oval,VS1,Oval,7.0,5.5,4.7,Sri Lanka,Natural,false,GIA,No,Thambalagamuwa,AA,7,International,3707,12.36,2023-01-09,Collector,"Blue blue spinel, VS1 clarity"
Spinel,Spinel,Blue Spinel,3.29,Blue,Cushion,VS,Cushion,10.3,7.7,7.2,Sri Lanka,Natural,false,GIA,No,Thambalagamuwa,AAA+,6,International,13294,44.31,2023-03-30,Certified Dealer,"Blue blue spinel, VS clarity"
Spinel,Spinel,Blue Spinel,4.3,Blue,Emerald,VVS,Emerald,11.4,11.1,8.7,Sri Lanka,Natural,true,Lotus,No,Meetiyagoda,AAA,10,Local,13989,46.63,2024-05-18,Dealer,"Blue blue spinel, VVS clarity"
Sapphire,Corundum,Blue Sapphire,3.38,Normal Blue,Round,Eye-clean,Round,10.3,9.2,7.1,Sri Lanka,Natural,false,NGJA,No,Balangoda,AAA,9,Export,750502,2501.67,2024-11-19,High-End Dealer,"Normal Blue blue sapphire, Eye-clean clarity"
Spinel,Spinel,Blue Spinel,2.45,Blue,Pear,Eye-clean,Pear,8.5,7.0,5.2,Sri Lanka,Natural,true,GIA,No,Meetiyagoda,AAA,5,Export,10219,34.06,2023-04-22,High-End Dealer,"Blue blue spinel, Eye-clean clarity"
Sapphire,Corundum,Blue Sapphire,6.02,Royal Blue,Round,VS,Round,14.5,12.7,8.6,Sri Lanka,Unheated,true,GIA,No,Elahera,AAAA,10,Collector,60199999,200666.66,2023-01-27,Certified Dealer,"Royal Blue blue sapphire, VS clarity"
Sapphire,Corundum,Blue Sapphire,3.16,Normal Blue,Round,VVS,Round,9.9,9.3,7.6,Sri Lanka,Heated,true,GIA,Yes,Meetiyagoda,AAAA,4,International,326721,1089.07,2023-04-08,High-End Dealer,"Normal Blue blue sapphire, VVS clarity"
Sapphire,Corundum,Padparadscha,7.47,Orange-Pink,Oval,VS1,Oval,15.2,12.6,9.5,Sri Lanka,Unheated,false,NGJA,No,Ratnapura,AAA+,9,Collector,1062952,3543.17,2024-11-16,High-End Dealer,"Orange-Pink padparadscha, VS1 clarity"
